[2024-06-25 18:36:10,692] [StartupInfoLogger.java:55] [INFO ] Starting KogitoApplication using Java 17.0.11 on PC-SAPHIRON with PID 1784 (C:\Users\stadiello\Documents\questionnaire-drools - TP\questionnaire-drools - TP\TP-3-rules\target\classes started by stadiello in C:\Users\stadiello\Documents\questionnaire-drools - TP\questionnaire-drools - TP)
"[2024-06-25 18:36:10,703] [SpringApplication.java:640] [INFO ] No active profile set, falling back to 1 default profile: "default"
"[2024-06-25 18:36:12,913] [TomcatWebServer.java:108] [INFO ] Tomcat initialized with port(s): 8080 (http)
"[2024-06-25 18:36:13,292] [ServletWebServerApplicationContext.java:290] [INFO ] Root WebApplicationContext: initialization completed in 2525 ms
"[2024-06-25 18:36:14,346] [WelcomePageHandlerMapping.java:53] [INFO ] Adding welcome page: class path resource [META-INF/resources/index.html]
"[2024-06-25 18:36:16,050] [TomcatWebServer.java:220] [INFO ] Tomcat started on port(s): 8080 (http) with context path ''
"[2024-06-25 18:36:16,067] [StartupInfoLogger.java:61] [INFO ] Started KogitoApplication in 5.861 seconds (JVM running for 7.21)
"[2024-06-25 18:36:25,595] [FrameworkServlet.java:525] [INFO ] Initializing Servlet 'dispatcherServlet'
"[2024-06-25 18:36:25,595] [FrameworkServlet.java:547] [INFO ] Completed initialization in 0 ms
"[2024-06-25 18:36:25,843] [Util.java:11] [DEBUG] --------- Start Main ruleflow : Init ---------
"[2024-06-25 18:36:25,993] [Util.java:11] [DEBUG] com.adis.rules.tp - Creation des Rubrique Etude
"[2024-06-25 18:36:25,996] [Util.java:11] [DEBUG] com.adis.rules.tp - Ajout de la question sur le sport
"[2024-06-25 18:36:26,002] [Util.java:11] [DEBUG] --------- Start Main ruleflow : Finit ---------
"[2024-06-25 18:36:31,926] [Util.java:11] [DEBUG] --------- Start Main ruleflow : Init ---------
"[2024-06-25 18:36:31,942] [Util.java:11] [DEBUG] com.adis.rules.tp - Creation des Rubrique Etude
"[2024-06-25 18:36:31,942] [Util.java:11] [DEBUG] com.adis.rules.tp - Ajout de la question sur le sport
"[2024-06-25 18:36:31,944] [Util.java:11] [DEBUG] --------- Start Main ruleflow : Finit ---------
"[2024-06-25 18:36:35,227] [Util.java:11] [DEBUG] --------- Start Main ruleflow : Init ---------
"[2024-06-25 18:36:35,227] [Util.java:11] [DEBUG] com.adis.rules.tp - Creation des Rubrique Etude
"[2024-06-25 18:36:35,227] [Util.java:11] [DEBUG] com.adis.rules.tp - Ajout de la question sur le sport
"[2024-06-25 18:36:35,227] [Util.java:11] [DEBUG] --------- Start Main ruleflow : Finit ---------
"[2024-06-25 18:36:36,490] [Util.java:11] [DEBUG] --------- Start Main ruleflow : Init ---------
"[2024-06-25 18:36:36,490] [Util.java:11] [DEBUG] com.adis.rules.tp - Creation des Rubrique Etude
"[2024-06-25 18:36:36,490] [Util.java:11] [DEBUG] com.adis.rules.tp - Ajout de la question sur le sport
"[2024-06-25 18:36:36,490] [Util.java:11] [DEBUG] --------- Start Main ruleflow : Finit ---------
"
